institute,salary9,salaryAnnual,title,totalFaculty
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
University of Montevallo,48892.0,65190.0,Instructor,4
University of North Alabama,77460.0,103280.0,Professor,73
University of North Alabama,66608.0,88811.0,Associate Professor,41
University of North Alabama,57352.0,76470.0,Assistant Professor,77
University of North Alabama,48853.0,65138.0,Instructor,29
Oakwood University,56286.0,75049.0,Professor,26
Oakwood University,48630.0,64841.0,Associate Professor,39
Oakwood University,41490.0,55320.0,Assistant Professor,43
Oakwood University,38078.0,50771.0,Instructor,2
Prince Institute of Professional Studies,42388.0,56517.0,Instructor,
Samford University,97024.0,129365.0,Professor,99
Samford University,70414.0,93886.0,Associate Professor,85
Samford University,59693.0,79592.0,Assistant Professor,97
Samford University,51345.0,68461.0,Instructor,19
Selma University,27750.0,37000.0,Professor,1
Selma University,22500.0,30000.0,Assistant Professor,3
Selma University,23958.0,31945.0,Instructor,21
University of South Alabama,86627.0,115502.0,Professor,192
University of South Alabama,68289.0,91052.0,Associate Professor,171
University of South Alabama,59572.0,79429.0,Assistant Professor,264
University of Montevallo,48892.0,65190.0,Instructor,4
University of North Alabama,77460.0,103280.0,Professor,73
University of North Alabama,66608.0,88811.0,Associate Professor,41
University of North Alabama,57352.0,76470.0,Assistant Professor,77
University of North Alabama,48853.0,65138.0,Instructor,29
Oakwood University,56286.0,75049.0,Professor,26
Oakwood University,48630.0,64841.0,Associate Professor,39
Oakwood University,41490.0,55320.0,Assistant Professor,43
Oakwood University,38078.0,50771.0,Instructor,2
Prince Institute of Professional Studies,42388.0,56517.0,Instructor,
Samford University,97024.0,129365.0,Professor,99
Samford University,70414.0,93886.0,Associate Professor,85
Samford University,59693.0,79592.0,Assistant Professor,97
Samford University,51345.0,68461.0,Instructor,19
Selma University,27750.0,37000.0,Professor,1
Selma University,22500.0,30000.0,Assistant Professor,3
Selma University,23958.0,31945.0,Instructor,21
University of South Alabama,86627.0,115502.0,Professor,192
University of South Alabama,68289.0,91052.0,Associate Professor,171
University of South Alabama,59572.0,79429.0,Assistant Professor,264
University of Montevallo,48892.0,65190.0,Instructor,4
University of North Alabama,77460.0,103280.0,Professor,73
University of North Alabama,66608.0,88811.0,Associate Professor,41
University of North Alabama,57352.0,76470.0,Assistant Professor,77
University of North Alabama,48853.0,65138.0,Instructor,29
Oakwood University,56286.0,75049.0,Professor,26
Oakwood University,48630.0,64841.0,Associate Professor,39
Oakwood University,41490.0,55320.0,Assistant Professor,43
Oakwood University,38078.0,50771.0,Instructor,2
Prince Institute of Professional Studies,42388.0,56517.0,Instructor,
Samford University,97024.0,129365.0,Professor,99
Samford University,70414.0,93886.0,Associate Professor,85
Samford University,59693.0,79592.0,Assistant Professor,97
Samford University,51345.0,68461.0,Instructor,19
Selma University,27750.0,37000.0,Professor,1
Selma University,22500.0,30000.0,Assistant Professor,3
Selma University,23958.0,31945.0,Instructor,21
University of South Alabama,86627.0,115502.0,Professor,192
University of South Alabama,68289.0,91052.0,Associate Professor,171
University of South Alabama,59572.0,79429.0,Assistant Professor,264
University of Montevallo,48892.0,65190.0,Instructor,4
University of North Alabama,77460.0,103280.0,Professor,73
University of North Alabama,66608.0,88811.0,Associate Professor,41
University of North Alabama,57352.0,76470.0,Assistant Professor,77
University of North Alabama,48853.0,65138.0,Instructor,29
Oakwood University,56286.0,75049.0,Professor,26
Oakwood University,48630.0,64841.0,Associate Professor,39
Oakwood University,41490.0,55320.0,Assistant Professor,43
Oakwood University,38078.0,50771.0,Instructor,2
Prince Institute of Professional Studies,42388.0,56517.0,Instructor,
Samford University,97024.0,129365.0,Professor,99
Samford University,70414.0,93886.0,Associate Professor,85
Samford University,59693.0,79592.0,Assistant Professor,97
Samford University,51345.0,68461.0,Instructor,19
Selma University,27750.0,37000.0,Professor,1
Selma University,22500.0,30000.0,Assistant Professor,3
Selma University,23958.0,31945.0,Instructor,21
University of South Alabama,86627.0,115502.0,Professor,192
University of South Alabama,68289.0,91052.0,Associate Professor,171
University of South Alabama,59572.0,79429.0,Assistant Professor,264
University of South Alabama,47688.0,63584.0,Instructor,126
University of South Alabama,50923.0,67898.0,Lecturer,2
Spring Hill College,68966.0,91955.0,Professor,13
Spring Hill College,54503.0,72671.0,Associate Professor,31
Spring Hill College,48136.0,64182.0,Assistant Professor,26
Spring Hill College,47167.0,62889.0,Instructor,3
Southeastern Bible College,45879.0,61172.0,Professor,3
Southeastern Bible College,39852.0,53136.0,Associate Professor,1
Southeastern Bible College,36949.0,49266.0,Assistant Professor,3
Stillman College,52652.0,70203.0,Professor,6
Stillman College,44867.0,59823.0,Associate Professor,21
Stillman College,39121.0,52161.0,Assistant Professor,27
Stillman College,26100.0,34800.0,Instructor,1
Talladega College,45050.0,60068.0,Professor,8
Talladega College,46227.0,61636.0,Associate Professor,12
Talladega College,47928.0,63904.0,Assistant Professor,10
Talladega College,43428.0,57905.0,Instructor,13
Troy University,73746.0,98328.0,Professor,58
Troy University,59258.0,79011.0,Associate Professor,107
Troy University,53155.0,70874.0,Assistant Professor,203
Troy University,40074.0,53433.0,Instructor,5
Troy University,41372.0,55163.0,Lecturer,117
Tuskegee University,45687.0,60916.0,Professor,55
Tuskegee University,67182.0,89577.0,Associate Professor,51
Tuskegee University,70813.0,94418.0,Assistant Professor,111
Tuskegee University,44412.0,59217.0,Instructor,35
Tuskegee University,43196.0,57596.0,Lecturer,10
United States Sports Academy,61737.0,82316.0,Associate Professor,1
United States Sports Academy,51857.0,69143.0,Assistant Professor,4
United States Sports Academy,38525.0,51367.0,Instructor,1
United States Sports Academy,,51642.0,Lecturer,
University of Alaska Anchorage,104375.0,139167.0,Professor,111
University of Alaska Anchorage,80288.0,107051.0,Associate Professor,139
University of Alaska Anchorage,66927.0,89237.0,Assistant Professor,234
University of Alaska Anchorage,50403.0,67205.0,Instructor,59
University of Alaska Anchorage,,60000.0,Lecturer,
University of Alaska Fairbanks,109339.0,145786.0,Professor,85
University of Alaska Fairbanks,81593.0,108791.0,Associate Professor,116
University of Alaska Fairbanks,67772.0,90363.0,Assistant Professor,173
University of Alaska Fairbanks,63295.0,84394.0,Instructor,39
Troy University,40074.0,53433.0,Instructor,5
